customer_id,loan_id,loan_amount,loant_type,interest_rate,loan_term,approval_rejection_date,loan_status
1,1,"32200,06",mortgage,"0,0119",36,05.11.2021,rejected
2,2,"47743,52",auto,"0,0297",36,7/30/2020,approved
3,3,"47981,31",auto,"0,0267",24,1/17/2021,closed
4,4,"4482,8",personal,"0,0019",48,2/15/2022,approved
5,5,"1092,33",mortgage,"0,0115",12,7/31/2020,approved
6,6,"48039,24",mortgage,"0,0477",24,11/14/2020,closed
7,7,"27230,51",mortgage,"0,0166",24,1/26/2020,approved
8,8,"35319,63",mortgage,"0,0317",12,10/21/2020,approved
9,9,"45717,26",mortgage,"0,0412",60,12/17/2022,rejected
10,10,"22224,58",auto,"0,0318",24,09.11.2021,closed
11,11,"22592,01",personal,"0,0305",60,11/20/2022,rejected
12,12,"9182,1",auto,"0,0252",48,7/29/2020,approved
13,13,"45385,59",auto,"0,0296",36,9/20/2021,approved
14,14,"32735,99",auto,"0,0027",48,12/21/2022,approved
15,15,"9833,19",mortgage,"0,0587",36,12.06.2022,closed
16,16,"28429,81",mortgage,"0,0174",24,12.11.2021,approved
17,17,"17080,03",auto,"0,0311",36,12/15/2022,rejected
18,18,"8211,92",auto,"0,0129",12,2/23/2022,closed
19,19,"9911,6",personal,"0,0113",12,06.05.2022,rejected
20,20,"28403,6",mortgage,"0,0383",48,1/27/2021,closed
21,21,"28654,88",personal,"0,0263",12,7/26/2020,closed
22,22,"39707,1",personal,"0,0103",48,10/28/2021,rejected
23,23,"13151,23",mortgage,"0,0405",60,2/20/2022,closed
24,24,"45875,84",personal,"0,0124",60,03.07.2022,rejected
25,25,"26412,03",mortgage,"0,0544",48,5/18/2020,rejected
26,26,"11004,46",personal,"0,0318",48,11.03.2022,approved
27,27,"21250,75",personal,"0,0459",48,4/19/2021,approved
28,28,"46244,6",mortgage,"0,0353",36,10/23/2022,approved
29,29,"24429,67",auto,"0,0183",12,2/20/2022,rejected
30,30,"43861,04",auto,"0,0182",36,2/23/2022,closed
31,31,"8831,8",auto,"0,0010",36,12/21/2021,approved
32,32,"45783,96",auto,"0,0171",36,5/15/2022,closed
33,33,"22100,32",mortgage,"0,0290",60,8/21/2021,closed
34,34,"46870,22",personal,"0,0546",60,09.02.2020,rejected
35,35,"43437,85",mortgage,"0,0254",36,03.10.2022,closed
36,36,"33338,35",mortgage,"0,0471",24,02.10.2021,rejected
37,37,"33969,47",mortgage,"0,0518",36,7/25/2022,rejected
38,38,"11363,89",personal,"0,0559",24,04.08.2021,rejected
39,39,"30538,66",auto,"0,0059",24,10/25/2020,rejected
40,40,"27925,28",mortgage,"0,0035",12,12/16/2022,rejected
41,41,"17373,2",mortgage,"0,0599",48,11.04.2021,rejected
42,42,"25775,45",personal,"0,0216",36,10/13/2022,closed
43,43,"46528,03",personal,"0,0041",36,2/20/2020,approved
44,44,"1259,98",mortgage,"0,0375",36,5/14/2020,approved
45,45,"21439,08",personal,"0,0041",48,9/26/2022,approved
46,46,"17348,3",mortgage,"0,0502",24,05.09.2020,closed
47,47,"48100,32",mortgage,"0,0373",36,11.05.2021,closed
48,48,"48720,82",mortgage,"0,0159",36,2/17/2020,rejected
49,49,"29697,37",personal,"0,0270",48,04.05.2021,approved
50,50,"27950,34",auto,"0,0327",60,12/26/2022,closed
51,51,"45257,41",mortgage,"0,0172",48,3/21/2021,rejected
52,52,"1320,58",mortgage,"0,0218",48,11/25/2021,approved
53,53,"28551,75",mortgage,"0,0469",60,8/23/2020,rejected
54,54,"2206,99",mortgage,"0,0562",12,12.12.2020,approved
55,55,"48439,95",mortgage,"0,0039",48,06.04.2020,approved
56,56,"16687,82",auto,"0,0099",48,12/25/2022,approved
57,57,"26519,26",mortgage,"0,0171",36,2/17/2020,closed
58,58,"21460,86",personal,"0,0065",24,2/23/2021,rejected
59,59,"44787,58",auto,"0,0139",24,9/28/2022,rejected
60,60,"49991,08",mortgage,"0,0478",48,3/29/2021,closed
61,61,"4351,01",auto,"0,0524",24,10.07.2022,approved
62,62,"36869,53",mortgage,"0,0357",36,04.06.2021,approved
63,63,"19031,93",auto,"0,0054",48,2/24/2020,approved
64,64,"7814,57",mortgage,"0,0052",48,01.07.2021,rejected
65,65,"20866,44",personal,"0,0422",48,03.02.2020,rejected
66,66,"49909,18",mortgage,"0,0498",36,12.10.2021,rejected
67,67,"18520,8",auto,"0,0196",24,10/23/2021,approved
68,68,"14592,57",personal,"0,0266",48,05.06.2021,approved
69,69,"42462,4",auto,"0,0089",60,11/14/2022,approved
70,70,"43528,96",auto,"0,0295",48,03.10.2021,rejected
71,71,"17604,59",mortgage,"0,0013",24,4/25/2022,approved
72,72,"15634,98",personal,"0,0158",12,1/15/2022,approved
73,73,"32716,79",mortgage,"0,0198",12,3/17/2021,closed
74,74,"11053,75",auto,"0,0311",12,10.05.2022,rejected
