transaction_id,transaction_date,account_id,transaction_type,transaction_amount,transaction_currency
1000000,12.02.2025,3301,withdrawal,"1028,82", BGN
1000001,13.02.2025,82,withdrawal,"442,63", DKK
1000002,07.02.2025,1791,withdrawal,"5978,64", JPY
1000003,15.01.2025,1408,transfer,"8259,45", CHF
1000004,02.03.2025,4863,deposit,"7538,88", CZK
1000005,25.01.2025,971,deposit,"1007,10", CHF
1000006,01.01.2025,3428,transfer,"8988,02", PLN
1000007,11.02.2025,3845,withdrawal,"7038,70", CHF
1000008,02.03.2025,2948,transfer,"1345,45", SEK
1000009,15.02.2025,4246,transfer,"8664,56", BGN
1000010,14.01.2025,352,withdrawal,"3402,05", HUF
1000011,07.02.2025,3204,transfer,"4062,13", HUF
1000012,04.02.2025,2404,transfer,"268,72", RON
1000013,18.02.2025,1273,withdrawal,"8899,43", NOK
1000014,26.02.2025,2667,withdrawal,"581,71", TRY
1000015,03.01.2025,3409,transfer,"8764,68", CZK
1000016,11.02.2025,1258,deposit,"9858,08", JPY
1000017,23.01.2025,4284,transfer,"5362,47", RON
1000018,27.01.2025,912,withdrawal,"7479,51", PLN
1000019,14.01.2025,189,withdrawal,"2733,52", PLN
1000020,13.02.2025,482,deposit,"2229,94", PLN
1000021,24.01.2025,4809,transfer,"8086,66", CZK
1000022,01.01.2025,4185,withdrawal,"4329,43", CZK
1000023,26.01.2025,467,transfer,"9373,30", AUD
1000024,03.01.2025,2921,withdrawal,"9713,67", NOK
1000025,14.02.2025,4787,withdrawal,"8144,49", CHF
1000026,21.01.2025,1514,withdrawal,"7219,19", JPY
1000027,21.01.2025,3048,transfer,"2574,91", RON
1000028,02.03.2025,4260,withdrawal,"5245,19", PLN
1000029,07.02.2025,1044,transfer,"663,98", JPY
1000030,28.01.2025,1757,deposit,"3689,94", PLN
1000031,18.01.2025,1632,transfer,"8369,08", DKK
1000032,23.02.2025,4275,transfer,"7544,06", CZK
1000033,20.01.2025,2435,deposit,"5670,20", SEK
1000034,15.01.2025,1059,deposit,"1368,99", JPY
1000035,24.01.2025,1343,deposit,"4885,04", RON
1000036,09.03.2025,3191,transfer,"8712,69", RON
1000037,21.02.2025,2869,deposit,"6146,15", CHF
1000038,19.02.2025,2486,withdrawal,"2241,29", DKK
1000039,28.02.2025,4213,transfer,"471,36", JPY
1000040,20.02.2025,4040,withdrawal,"9697,09", GBP
1000041,07.01.2025,3627,withdrawal,"3396,85", CZK
1000042,10.03.2025,1902,transfer,"5032,48", CZK
1000043,08.03.2025,1004,deposit,"5752,38", GBP
1000044,18.02.2025,84,withdrawal,"7487,03", SEK
1000045,18.01.2025,4040,withdrawal,"4193,99", TRY
1000046,04.03.2025,1066,withdrawal,"8588,35", DKK
1000047,16.01.2025,1458,withdrawal,"3593,00", NOK
1000048,01.03.2025,3650,transfer,"7361,47", RON
1000049,18.02.2025,1801,withdrawal,"9576,56", GBP
1000050,17.02.2025,1548,transfer,"125,75", CHF
1000051,01.02.2025,775,transfer,"7494,32", TRY
1000052,15.02.2025,1503,transfer,"1982,43", GBP
1000053,02.02.2025,1511,deposit,"2328,12", AUD
1000054,04.03.2025,542,deposit,"8223,08", NOK
1000055,06.02.2025,3915,deposit,"3951,12", HUF
1000056,21.02.2025,387,transfer,"6921,54", CHF
1000057,10.03.2025,4159,transfer,"2255,30", GBP
1000058,14.02.2025,3893,transfer,"7801,31", JPY
1000059,01.02.2025,309,deposit,"4841,10", AUD
1000060,09.03.2025,311,transfer,"8394,42", SEK
1000061,25.01.2025,1694,deposit,"5433,00", CHF
1000062,07.03.2025,590,transfer,"8525,97", GBP
1000063,11.02.2025,3480,withdrawal,"2417,70", CZK
1000064,19.01.2025,3256,withdrawal,"2493,35", ISK
1000065,26.02.2025,4579,withdrawal,"3971,80", CHF
1000066,14.02.2025,2197,transfer,"1023,12", PLN
1000067,17.02.2025,2604,deposit,"3222,83", BGN
