customer_id;branch_id;account_id;transaction_id;transaction_date;total_amount_eur
3724;93;3724;1026631;2025-02-19;36.12278060104147
3523;35;3523;1026633;2025-01-14;1869.5725
4764;22;4764;1026636;2025-01-07;315.3084
3455;71;3455;1026641;2025-01-13;22.216512955643392
4891;57;4891;1026648;2025-01-28;1023.59
4033;35;4033;1026650;2025-02-05;712.1357142857142
1376;26;1376;1026652;2025-01-27;213.00475
2506;86;2506;1026653;2025-01-02;52.622249999999994
3507;59;3507;1026655;2025-01-16;1463.425
3791;13;3791;1026657;2025-02-15;16.49628238828389
3615;66;3615;1026664;2025-02-08;133.02
1197;91;1197;1026665;2025-01-22;13.939017504234895
3277;83;3277;1026675;2025-01-15;1188.02
3674;48;3674;1026676;2025-02-05;786.8327272727273
4854;65;4854;1026680;2025-01-06;678.8941666666666
2335;20;2335;1026683;2025-03-04;53.00884622623754
98;86;98;1026684;2025-03-05;1321.51
3884;31;3884;1026686;2025-02-18;20.86168481662286
4213;12;4213;1026689;2025-01-17;767.5958333333333
300;17;300;1026698;2025-01-21;1384.1667759901727
3669;55;3669;1026702;2025-02-08;26.09272727272727
3917;8;3917;1026714;2025-01-15;125.848
2845;23;2845;1026715;2025-02-27;477.0209090909091
3685;53;3685;1026720;2025-02-26;211.21142857142857
3636;47;3636;1026723;2025-02-19;2181.6837410106264
4808;87;4808;1026725;2025-02-04;1578.8075
4977;98;4977;1026726;2025-01-24;9571.320437342303
2564;92;2564;1026728;2025-03-09;1270.545
277;39;277;1026731;2025-02-09;3.1748000000000003
1658;66;1658;1026732;2025-01-28;3142.90370058873
1778;38;1778;1026738;2025-02-28;4053.67
1036;9;1036;1026740;2025-01-16;37.286529895225556
1710;87;1710;1026744;2025-01-26;439.8358333333333
2622;75;2622;1026747;2025-01-13;2929.365
1423;54;1423;1026764;2025-03-05;1193.8842857142859
1575;29;1575;1026768;2025-03-01;721.2741666666667
1085;15;1085;1026771;2025-02-19;1246.43
2057;67;2057;1026781;2025-02-12;2310.505
2063;37;2063;1026784;2025-01-19;186.88250000000002
1672;59;1672;1026789;2025-01-26;10989.624205416882
1735;33;1735;1026790;2025-03-05;853.8299999999999
3376;88;3376;1026792;2025-03-01;171.365
3173;28;3173;1026795;2025-01-05;7.6785
464;38;464;1026799;2025-01-27;1195.2475
2730;96;2730;1026804;2025-03-03;26.36351088525002
3182;89;3182;1026805;2025-01-23;103.447
2490;78;2490;1026812;2025-01-16;3.6332500000000003
4719;86;4719;1026815;2025-02-08;142.14000000000001
1261;4;1261;1026816;2025-02-09;17.130769230769232
2666;77;2666;1026820;2025-01-02;1815.616
2139;31;2139;1026823;2025-02-28;2073.68
487;60;487;1026834;2025-02-23;7.401552134184504
3479;32;3479;1026837;2025-01-22;717.7790909090909
1336;20;1336;1026853;2025-01-25;9.447740643384654
1962;48;1962;1026858;2025-02-20;94.902
3980;51;3980;1026859;2025-02-02;618.89
803;46;803;1026861;2025-01-21;1697.77
3000;45;3000;1026869;2025-03-06;11459.814666841585
1624;38;1624;1026882;2025-01-20;1365.99
4089;46;4089;1026885;2025-02-17;37.41620149761742
4657;96;4657;1026895;2025-01-24;2702.71236333053
960;98;960;1026897;2025-02-28;1464.9
184;50;184;1026898;2025-02-02;4.138088964175921
631;11;631;1026899;2025-02-10;219.72166666666666
3650;38;3650;1026904;2025-02-15;1086.9725
269;86;269;1026913;2025-02-08;2801.7
2483;98;2483;1026920;2025-02-11;200.77759999999998
983;56;983;1026928;2025-02-22;37.096304661522055
552;99;552;1026929;2025-01-12;23.089372887720614
253;21;253;1026931;2025-02-25;212.228
222;92;222;1026934;2025-03-03;331.28818181818184
3836;88;3836;1026936;2025-01-04;603.8950971389045
3257;23;3257;1026940;2025-02-05;170.196
605;80;605;1026941;2025-02-24;10521.616238714834
2603;82;2603;1026943;2025-01-02;3027.52
3020;92;3020;1026950;2025-03-10;4331.801934398654
639;3;639;1026957;2025-01-06;289.9508333333333
2723;36;2723;1026959;2025-01-06;455.4375
4291;99;4291;1026966;2025-01-09;71.5952
4257;78;4257;1026973;2025-01-06;10.352860182751282
3042;49;3042;1026976;2025-02-08;285.185
1165;58;1165;1026982;2025-02-08;8.110577043434724
636;33;636;1026988;2025-02-02;784.0614285714286
1227;55;1227;1026990;2025-01-04;392.1536
552;99;552;1026996;2025-01-25;1.1163850294154463
3221;10;3221;1027000;2025-02-14;498.52727272727276
3423;62;3423;1027001;2025-01-24;191.863
599;15;599;1027006;2025-01-20;7.7124999999999995
960;98;960;1027007;2025-01-21;167.69175
1157;60;1157;1027008;2025-03-05;681.2108333333333
166;84;166;1027011;2025-02-02;534.2425
1262;15;1262;1027012;2025-02-19;24.09442984103142
3589;68;3589;1027013;2025-02-17;24.129203539823006
470;74;470;1027015;2025-02-21;1917.225
4496;43;4496;1027020;2025-01-30;68.7175
1554;81;1554;1027022;2025-01-14;1607.0120000000002
4135;3;4135;1027031;2025-01-15;710.1645454545455
743;13;743;1027034;2025-02-24;105.2645
4797;20;4797;1027038;2025-01-23;4227.23
3073;65;3073;1027044;2025-01-23;10292.132285417836
3939;47;3939;1027045;2025-02-09;1205.295
2326;37;2326;1027046;2025-01-26;275.4520605550883
4464;74;4464;1027047;2025-01-17;821.1136363636364
1391;99;1391;1027055;2025-02-16;50.142250000000004
3451;41;3451;1027058;2025-01-23;0.3272499687069721
102;54;102;1027064;2025-01-16;4614.995
500;21;500;1027065;2025-01-18;525.0158333333333
2228;98;2228;1027070;2025-02-23;2384.1025
968;47;968;1027074;2025-01-13;28.695463956333526
3329;29;3329;1027076;2025-01-11;156.96675
4362;17;4362;1027083;2025-02-13;194.636
3238;87;3238;1027085;2025-01-11;18.861220904699167
1240;86;1240;1027091;2025-03-01;3668.88
831;27;831;1027095;2025-02-06;33.188
1251;84;1251;1027096;2025-02-25;4.858730754787834
4813;22;4813;1027100;2025-01-28;48.47636363636364
1301;18;1301;1027109;2025-03-10;601.4790909090909
253;21;253;1027113;2025-01-15;510.162
53;96;53;1027120;2025-01-23;4024.579478553406
4644;20;4644;1027123;2025-02-06;653.5625
4871;76;4871;1027125;2025-02-15;59.2016601271333
1927;10;1927;1027128;2025-01-13;3.5772000000000004
1587;29;1587;1027134;2025-01-28;1376.6399999999999
3390;78;3390;1027139;2025-01-02;34.18012253233492
4313;85;4313;1027140;2025-01-08;10.253698835899362
2916;91;2916;1027143;2025-01-26;294.676
