account_id,customer_id,account_type,account_opening_date,has_date_parsing_error
1,1,current,2024-08-28,false
2,2,current,2008-03-25,false
3,3,current,2017-10-21,false
4,4,savings,2016-05-16,false
5,5,savings,2024-05-25,false
6,6,savings,2016-08-23,false
7,7,current,1999-04-07,false
8,8,savings,2015-03-12,false
9,9,current,2002-12-20,false
10,10,current,2023-11-08,false
11,11,savings,2003-03-10,false
12,12,current,2013-05-23,false
13,13,savings,2004-04-05,false
14,14,savings,2001-10-13,false
15,15,savings,,true
16,16,savings,2011-11-14,false
17,17,current,2005-10-25,false
18,18,savings,1999-03-28,false
19,19,current,2023-12-16,false
20,20,savings,2007-03-06,false
21,21,savings,2024-12-09,false
22,22,current,2024-10-24,false
23,23,savings,2005-07-24,false
24,24,savings,2007-10-17,false
25,25,savings,2007-12-21,false
26,26,current,1996-05-24,false
27,27,savings,1998-12-01,false
28,28,savings,2017-02-09,false
29,29,savings,2004-10-07,false
30,30,current,2006-04-10,false
31,31,current,2009-04-11,false
33,33,current,1999-02-16,false
34,34,savings,2012-10-23,false
35,35,current,2008-12-25,false
36,36,current,2024-04-02,false
37,37,current,2013-03-23,false
38,38,current,1997-12-26,false
39,39,savings,1995-11-03,false
40,40,savings,2019-10-02,false
41,41,current,2001-02-24,false
42,42,current,2024-04-12,false
43,43,current,2001-04-07,false
44,44,current,1997-10-01,false
45,45,savings,1998-01-12,false
46,46,savings,2008-04-15,false
47,47,current,2005-03-07,false
48,48,current,2023-12-18,false
49,49,current,2003-04-20,false
50,50,current,2013-05-04,false
51,51,current,1995-10-04,false
52,52,current,2021-05-13,false
53,53,current,2009-06-26,false
54,54,savings,2014-03-19,false
55,55,savings,1997-02-10,false
56,56,savings,2003-11-13,false
57,57,current,2007-11-19,false
58,58,savings,2008-11-18,false
59,59,current,1999-02-22,false
60,60,current,2004-02-17,false
61,61,current,2001-11-20,false
62,62,savings,2023-01-02,false
63,63,savings,2010-12-16,false
64,64,current,1995-02-07,false
65,65,savings,2012-02-21,false
66,66,savings,2000-11-04,false
67,67,savings,2003-03-15,false
68,68,savings,2002-01-19,false
69,69,current,2005-06-22,false
70,70,current,2019-07-01,false
71,71,savings,2024-03-21,false
72,72,savings,2008-09-11,false
73,73,savings,2016-05-11,false
74,74,current,2011-12-22,false
75,75,savings,2003-01-14,false
76,76,current,2015-08-12,false
77,77,savings,2024-11-26,false
78,78,savings,2015-02-28,false
79,79,current,2001-01-06,false
80,80,current,1995-06-18,false
81,81,current,2014-08-05,false
82,82,current,2016-05-25,false
83,83,savings,1996-05-01,false
84,84,current,1995-07-05,false
85,85,current,2018-10-22,false
86,86,current,2018-03-03,false
87,87,savings,2016-01-01,false
88,88,current,2008-12-18,false
89,89,savings,2008-02-23,false
90,90,savings,1998-12-14,false
91,91,current,2010-10-16,false
92,92,savings,2003-07-03,false
93,93,current,2016-08-13,false
94,94,savings,2006-07-01,false
95,95,savings,2024-11-03,false
96,96,current,2023-08-13,false
97,97,current,2023-12-27,false
98,98,savings,2001-09-21,false
99,99,current,2015-02-14,false
100,100,current,2008-01-20,false
101,101,savings,2007-03-20,false
102,102,savings,2009-10-22,false
103,103,savings,1996-02-28,false
104,104,current,2005-11-12,false
105,105,savings,2012-04-17,false
106,106,current,2019-12-18,false
107,107,savings,2024-06-27,false
108,108,current,2003-10-04,false
109,109,current,2006-01-13,false
110,110,savings,2019-10-06,false
111,111,savings,1998-08-28,false
112,112,current,2024-01-18,false
113,113,savings,2012-10-24,false
114,114,savings,2002-07-02,false
115,115,current,2023-05-25,false
116,116,current,2000-06-03,false
117,117,savings,2004-08-03,false
118,118,savings,2011-05-23,false
119,119,savings,1999-03-06,false
120,120,savings,2024-03-25,false
121,121,savings,2022-07-21,false
122,122,current,2011-04-04,false
123,123,savings,2020-10-09,false
124,124,current,2000-04-28,false
125,125,savings,1999-10-09,false
126,126,savings,2009-06-06,false
127,127,savings,2021-08-01,false
128,128,current,2017-12-20,false
129,129,savings,2015-02-12,false
130,130,current,1999-06-12,false
131,131,current,2005-05-28,false
132,132,savings,2005-06-27,false
133,133,savings,2020-10-22,false
134,134,savings,2003-04-18,false
135,135,savings,2006-08-25,false
136,136,current,2019-06-05,false
137,137,current,2006-02-14,false
138,138,savings,2005-08-04,false
139,139,current,2003-02-07,false
140,140,savings,2018-10-20,false
141,141,current,1996-04-20,false
