customer_id,loan_id,loan_amount,loan_type,interest_rate,loan_term,approval_rejection_date,loan_status,has_date_parsing_error
1,1,32200.06,mortgage,0.0119,36,2021-11-05,rejected,false
2,2,47743.52,auto,0.0297,36,2020-07-30,approved,false
3,3,47981.31,auto,0.0267,24,2021-01-17,closed,false
4,4,4482.8,personal,0.0019,48,2022-02-15,approved,false
5,5,1092.33,mortgage,0.0115,12,2020-07-31,approved,false
6,6,48039.24,mortgage,0.0477,24,2020-11-14,closed,false
7,7,27230.51,mortgage,0.0166,24,2020-01-26,approved,false
8,8,35319.63,mortgage,0.0317,12,2020-10-21,approved,false
9,9,45717.26,mortgage,0.0412,60,2022-12-17,rejected,false
10,10,22224.58,auto,0.0318,24,2021-11-09,closed,false
11,11,22592.01,personal,0.0305,60,2022-11-20,rejected,false
12,12,9182.1,auto,0.0252,48,2020-07-29,approved,false
13,13,45385.59,auto,0.0296,36,2021-09-20,approved,false
14,14,32735.99,auto,0.0027,48,2022-12-21,approved,false
15,15,9833.19,mortgage,0.0587,36,2022-06-12,closed,false
16,16,28429.81,mortgage,0.0174,24,2021-11-12,approved,false
17,17,17080.03,auto,0.0311,36,2022-12-15,rejected,false
18,18,8211.92,auto,0.0129,12,2022-02-23,closed,false
19,19,9911.6,personal,0.0113,12,2022-05-06,rejected,false
20,20,28403.6,mortgage,0.0383,48,2021-01-27,closed,false
21,21,28654.88,personal,0.0263,12,2020-07-26,closed,false
22,22,39707.1,personal,0.0103,48,2021-10-28,rejected,false
23,23,13151.23,mortgage,0.0405,60,2022-02-20,closed,false
24,24,45875.84,personal,0.0124,60,2022-07-03,rejected,false
25,25,26412.03,mortgage,0.0544,48,2020-05-18,rejected,false
26,26,11004.46,personal,0.0318,48,2022-03-11,approved,false
27,27,21250.75,personal,0.0459,48,2021-04-19,approved,false
28,28,46244.6,mortgage,0.0353,36,2022-10-23,approved,false
29,29,24429.67,auto,0.0183,12,2022-02-20,rejected,false
30,30,43861.04,auto,0.0182,36,2022-02-23,closed,false
31,31,8831.8,auto,0.001,36,2021-12-21,approved,false
32,32,45783.96,auto,0.0171,36,2022-05-15,closed,false
33,33,22100.32,mortgage,0.029,60,2021-08-21,closed,false
34,34,46870.22,personal,0.0546,60,2020-02-09,rejected,false
35,35,43437.85,mortgage,0.0254,36,2022-10-03,closed,false
36,36,33338.35,mortgage,0.0471,24,2021-10-02,rejected,false
37,37,33969.47,mortgage,0.0518,36,2022-07-25,rejected,false
38,38,11363.89,personal,0.0559,24,2021-08-04,rejected,false
39,39,30538.66,auto,0.0059,24,2020-10-25,rejected,false
40,40,27925.28,mortgage,0.0035,12,2022-12-16,rejected,false
41,41,17373.2,mortgage,0.0599,48,2021-04-11,rejected,false
42,42,25775.45,personal,0.0216,36,2022-10-13,closed,false
43,43,46528.03,personal,0.0041,36,2020-02-20,approved,false
44,44,1259.98,mortgage,0.0375,36,2020-05-14,approved,false
45,45,21439.08,personal,0.0041,48,2022-09-26,approved,false
46,46,17348.3,mortgage,0.0502,24,2020-09-05,closed,false
47,47,48100.32,mortgage,0.0373,36,2021-05-11,closed,false
48,48,48720.82,mortgage,0.0159,36,2020-02-17,rejected,false
49,49,29697.37,personal,0.027,48,2021-05-04,approved,false
50,50,27950.34,auto,0.0327,60,2022-12-26,closed,false
51,51,45257.41,mortgage,0.0172,48,2021-03-21,rejected,false
52,52,1320.58,mortgage,0.0218,48,2021-11-25,approved,false
53,53,28551.75,mortgage,0.0469,60,2020-08-23,rejected,false
54,54,2206.99,mortgage,0.0562,12,2020-12-12,approved,false
55,55,48439.95,mortgage,0.0039,48,2020-04-06,approved,false
56,56,16687.82,auto,0.0099,48,2022-12-25,approved,false
57,57,26519.26,mortgage,0.0171,36,2020-02-17,closed,false
58,58,21460.86,personal,0.0065,24,2021-02-23,rejected,false
59,59,44787.58,auto,0.0139,24,2022-09-28,rejected,false
60,60,49991.08,mortgage,0.0478,48,2021-03-29,closed,false
61,61,4351.01,auto,0.0524,24,2022-07-10,approved,false
62,62,36869.53,mortgage,0.0357,36,2021-06-04,approved,false
63,63,19031.93,auto,0.0054,48,2020-02-24,approved,false
64,64,7814.57,mortgage,0.0052,48,2021-07-01,rejected,false
65,65,20866.44,personal,0.0422,48,2020-02-03,rejected,false
66,66,49909.18,mortgage,0.0498,36,2021-10-12,rejected,false
67,67,18520.8,auto,0.0196,24,2021-10-23,approved,false
68,68,14592.57,personal,0.0266,48,2021-06-05,approved,false
69,69,42462.4,auto,0.0089,60,2022-11-14,approved,false
70,70,43528.96,auto,0.0295,48,2021-10-03,rejected,false
71,71,17604.59,mortgage,0.0013,24,2022-04-25,approved,false
72,72,15634.98,personal,0.0158,12,2022-01-15,approved,false
73,73,32716.79,mortgage,0.0198,12,2021-03-17,closed,false
74,74,11053.75,auto,0.0311,12,2022-05-10,rejected,false
75,75,24700.58,personal,0.0311,60,2020-08-21,rejected,false
76,76,7925.84,mortgage,0.044,12,2022-03-27,rejected,false
77,77,15932.98,auto,0.0125,36,2020-08-08,rejected,false
78,78,15576.59,personal,0.0402,36,2022-08-22,closed,false
79,79,35050.1,mortgage,0.0093,12,2022-05-05,closed,false
80,80,14831.38,personal,0.0004,12,2022-12-12,closed,false
81,81,45026.29,personal,0.046,24,2020-09-14,closed,false
82,82,49169.26,mortgage,0.0095,36,2022-02-22,approved,false
83,83,4972.02,auto,0.0023,24,2021-02-24,approved,false
84,84,20484.73,mortgage,0.0151,24,2020-06-11,closed,false
85,85,15790.21,mortgage,0.0272,12,2022-12-14,approved,false
86,86,18247.52,personal,0.0539,24,2020-03-08,rejected,false
87,87,14002.39,mortgage,0.0564,12,2021-11-24,approved,false
88,88,19750.58,personal,0.022,12,2020-08-09,approved,false
89,89,7929.32,auto,0.0153,48,2020-08-30,approved,false
90,90,14711.1,personal,0.0595,36,2020-08-19,approved,false
91,91,37643.08,mortgage,0.0467,60,2020-01-21,closed,false
92,92,17858.28,mortgage,0.0254,36,2021-07-20,approved,false
93,93,11183.91,mortgage,0.0357,60,2022-04-07,approved,false
94,94,6313.76,auto,0.0056,48,2022-04-09,rejected,false
95,95,18052.2,mortgage,0.0065,48,2021-06-18,closed,false
96,96,32527.05,mortgage,0.0264,36,2022-05-09,rejected,false
97,97,13411.94,personal,0.0509,48,2020-09-22,approved,false
98,98,21699.84,mortgage,0.0367,48,2022-10-18,approved,false
99,99,47667.53,personal,0.0445,12,2021-12-05,rejected,false
100,100,28065.78,auto,0.0535,48,2022-01-08,rejected,false
101,101,27064.99,mortgage,0.022,24,2022-05-18,approved,false
102,102,21087.22,auto,0.0405,48,2020-03-02,rejected,false
103,103,28285.16,mortgage,0.0361,60,2021-03-20,approved,false
104,104,49243.8,mortgage,0.0571,36,2020-12-29,approved,false
105,105,13436.54,mortgage,0.0596,60,2020-04-03,closed,false
106,106,47154.47,personal,0.0096,12,2021-10-11,rejected,false
107,107,8304.48,personal,0.0235,48,2022-03-12,closed,false
108,108,6444.16,personal,0.0133,24,2020-04-20,approved,false
109,109,33078.81,mortgage,0.0532,12,2022-01-09,closed,false
110,110,13307.77,mortgage,0.0581,36,2022-06-07,closed,false
111,111,22775.22,mortgage,0.0397,48,2020-10-24,approved,false
112,112,36753.08,personal,0.0467,36,2021-02-06,approved,false
