transaction_id,transaction_date,account_id,transaction_type,transaction_amount,transaction_currency,has_date_parsing_error
1000000,2025-02-12,3301,withdrawal,1028.82,BGN,false
1000001,2025-02-13,82,withdrawal,442.63,DKK,false
1000002,2025-02-07,1791,withdrawal,5978.64,JPY,false
1000003,2025-01-15,1408,transfer,8259.45,CHF,false
1000004,2025-03-02,4863,deposit,7538.88,CZK,false
1000005,2025-01-25,971,deposit,1007.1,CHF,false
1000006,2025-01-01,3428,transfer,8988.02,PLN,false
1000007,2025-02-11,3845,withdrawal,7038.7,CHF,false
1000008,2025-03-02,2948,transfer,1345.45,SEK,false
1000009,2025-02-15,4246,transfer,8664.56,BGN,false
1000010,2025-01-14,352,withdrawal,3402.05,HUF,false
1000011,2025-02-07,3204,transfer,4062.13,HUF,false
1000012,2025-02-04,2404,transfer,268.72,RON,false
1000013,2025-02-18,1273,withdrawal,8899.43,NOK,false
1000014,2025-02-26,2667,withdrawal,581.71,TRY,false
1000015,2025-01-03,3409,transfer,8764.68,CZK,false
1000016,2025-02-11,1258,deposit,9858.08,JPY,false
1000017,2025-01-23,4284,transfer,5362.47,RON,false
1000018,2025-01-27,912,withdrawal,7479.51,PLN,false
1000019,2025-01-14,189,withdrawal,2733.52,PLN,false
1000020,2025-02-13,482,deposit,2229.94,PLN,false
1000021,2025-01-24,4809,transfer,8086.66,CZK,false
1000022,2025-01-01,4185,withdrawal,4329.43,CZK,false
1000023,2025-01-26,467,transfer,9373.3,AUD,false
1000024,2025-01-03,2921,withdrawal,9713.67,NOK,false
1000025,2025-02-14,4787,withdrawal,8144.49,CHF,false
1000026,2025-01-21,1514,withdrawal,7219.19,JPY,false
1000027,2025-01-21,3048,transfer,2574.91,RON,false
1000028,2025-03-02,4260,withdrawal,5245.19,PLN,false
1000029,2025-02-07,1044,transfer,663.98,JPY,false
1000030,2025-01-28,1757,deposit,3689.94,PLN,false
1000031,2025-01-18,1632,transfer,8369.08,DKK,false
1000032,2025-02-23,4275,transfer,7544.06,CZK,false
1000033,2025-01-20,2435,deposit,5670.2,SEK,false
1000034,2025-01-15,1059,deposit,1368.99,JPY,false
1000035,2025-01-24,1343,deposit,4885.04,RON,false
1000036,2025-03-09,3191,transfer,8712.69,RON,false
1000037,2025-02-21,2869,deposit,6146.15,CHF,false
1000038,2025-02-19,2486,withdrawal,2241.29,DKK,false
1000039,2025-02-28,4213,transfer,471.36,JPY,false
1000040,2025-02-20,4040,withdrawal,9697.09,GBP,false
1000041,2025-01-07,3627,withdrawal,3396.85,CZK,false
1000042,2025-03-10,1902,transfer,5032.48,CZK,false
1000043,2025-03-08,1004,deposit,5752.38,GBP,false
1000044,2025-02-18,84,withdrawal,7487.03,SEK,false
1000045,2025-01-18,4040,withdrawal,4193.99,TRY,false
1000046,2025-03-04,1066,withdrawal,8588.35,DKK,false
1000047,2025-01-16,1458,withdrawal,3593.0,NOK,false
1000048,2025-03-01,3650,transfer,7361.47,RON,false
1000049,2025-02-18,1801,withdrawal,9576.56,GBP,false
1000050,2025-02-17,1548,transfer,125.75,CHF,false
1000051,2025-02-01,775,transfer,7494.32,TRY,false
1000052,2025-02-15,1503,transfer,1982.43,GBP,false
1000053,2025-02-02,1511,deposit,2328.12,AUD,false
1000054,2025-03-04,542,deposit,8223.08,NOK,false
1000055,2025-02-06,3915,deposit,3951.12,HUF,false
1000056,2025-02-21,387,transfer,6921.54,CHF,false
1000057,2025-03-10,4159,transfer,2255.3,GBP,false
1000058,2025-02-14,3893,transfer,7801.31,JPY,false
1000059,2025-02-01,309,deposit,4841.1,AUD,false
1000060,2025-03-09,311,transfer,8394.42,SEK,false
1000061,2025-01-25,1694,deposit,5433.0,CHF,false
1000062,2025-03-07,590,transfer,8525.97,GBP,false
1000063,2025-02-11,3480,withdrawal,2417.7,CZK,false
1000064,2025-01-19,3256,withdrawal,2493.35,ISK,false
1000065,2025-02-26,4579,withdrawal,3971.8,CHF,false
1000066,2025-02-14,2197,transfer,1023.12,PLN,false
1000067,2025-02-17,2604,deposit,3222.83,BGN,false
1000068,2025-02-19,1306,withdrawal,1967.65,CZK,false
1000069,2025-02-05,2173,deposit,3144.08,BGN,false
1000070,2025-01-14,1923,deposit,4140.08,CZK,false
1000071,2025-01-12,4809,transfer,4008.63,BGN,false
1000072,2025-01-09,3041,transfer,5936.45,BGN,false
1000073,2025-02-26,1406,withdrawal,7092.2,BGN,false
1000074,2025-01-02,3871,deposit,3903.44,BGN,false
1000075,2025-03-05,3594,deposit,7029.08,NOK,false
1000076,2025-01-14,2224,transfer,9200.15,GBP,false
1000077,2025-01-22,4246,withdrawal,9042.26,AUD,false
1000078,2025-03-01,2669,deposit,9133.03,DKK,false
1000079,2025-01-19,1080,transfer,1292.91,GBP,false
1000080,2025-01-24,4578,withdrawal,7539.35,SEK,false
1000081,2025-02-05,2009,withdrawal,4689.88,JPY,false
1000082,2025-01-10,367,transfer,6337.54,AUD,false
1000083,2025-01-28,2027,withdrawal,8460.14,NOK,false
1000084,2025-03-07,2346,transfer,5453.22,BGN,false
1000085,2025-01-28,3804,withdrawal,5582.09,PLN,false
1000086,2025-02-22,246,withdrawal,8517.94,RON,false
1000087,2025-02-02,3058,deposit,2351.47,ISK,false
1000088,2025-02-12,2765,deposit,2377.74,PLN,false
1000089,2025-02-11,4347,withdrawal,7440.96,TRY,false
1000090,2025-02-09,1780,transfer,9831.21,AUD,false
1000091,2025-02-18,1929,transfer,2768.81,CHF,false
1000092,2025-03-04,4669,transfer,4351.92,AUD,false
1000093,2025-02-18,2582,transfer,8022.7,NOK,false
1000094,2025-01-02,3516,withdrawal,4534.84,JPY,false
1000095,2025-01-20,2557,transfer,3889.92,GBP,false
1000096,2025-01-06,4976,deposit,454.32,JPY,false
1000097,2025-01-11,3315,deposit,8595.8,ISK,false
1000098,2025-02-14,1335,deposit,4038.86,CHF,false
1000099,2025-01-15,4761,withdrawal,5816.69,HUF,false
1000100,2025-01-28,888,withdrawal,8011.99,GBP,false
1000101,2025-01-05,58,transfer,8036.98,HUF,false
1000102,2025-02-12,3230,withdrawal,7115.18,ISK,false
1000103,2025-01-28,1900,deposit,850.08,DKK,false
1000104,2025-01-18,2298,transfer,781.07,HUF,false
1000105,2025-01-14,3888,withdrawal,2300.08,GBP,false
1000106,2025-01-09,3173,deposit,8425.08,AUD,false
1000107,2025-01-08,2905,transfer,8178.18,DKK,false
1000108,2025-02-06,3328,withdrawal,9818.74,HUF,false
1000109,2025-01-22,2602,deposit,2353.25,TRY,false
